Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status,return ,preturn ,year,month
T0242,2023-12-01,C2286,Coffee,8.0,524.3066615827773,PayPal ,completed,True,False,2023,12
T0245,2021-07-30,C1417,tablet,7.0,524.3066615827773,Cash,Failed,True,False,2021,7
T0248,2024-07-10,C2496,Headphones,431.0,242.13,PayPal,Failed,False,False,2024,7
T0251,2023-04-17,C3631,Headphones,212.0,873.7449157057446,Credit Card,Failed,False,False,2023,4
T0252,2022-03-01,C4052,Laptop,2.0,162.84533598386884,Credit Card,Completed,True,True,2022,3
T0253,2024-03-22,C1374,Laptop,9.0,115.6814182877149,Cash,Completed,True,False,2024,3
T0254,2021-11-14,C2859,Coffee,165.0,115.37062226098816,Credit Card,complete,False,False,2021,11
T0255,2021-01-12,C4435,Laptop,9.0,878.3307368842339,Credit Card,Failed,True,False,2021,1
T0267,2021-01-18,C4543,Coffee,7.0,699.4001442993365,Cash,complete,True,False,2021,1
T0268,2023-12-01,C2381,Laptop,7.0,617.8889335532153,PayPal,Failed,False,True,2023,12
T0269,2024-08-11,C3990,Coffee,8.0,810.4362003026442,Credit Card,Completed,True,False,2024,8
T0274,2023-02-08,C2934,Coffee,8.0,58.90413474001046,PayPal ,Failed,False,False,2023,2
T0278,2020-11-28,C1298,Coffee,319.0,524.3066615827773,PayPal,completed,False,False,2020,11
T0282,2023-07-19,C1022,Laptop,5.0,524.3066615827773,Credit Card,completed,False,False,2023,7
T0284,2022-10-04,C1301,Laptop,222.0,698.6577228569703,Cash,Pending,False,False,2022,10
T0294,2023-07-24,C1719,Laptop,3.0,581.8841170252601,Credit Card,Completed,False,False,2023,7
T0299,2020-11-26,C1664,Headphones,3.0,132.95090982621306,Credit Card,Pending,True,False,2020,11
T0302,2020-11-17,C2108,Headphones,2.0,524.3066615827773,PayPal ,completed,False,False,2020,11
T0303,2020-12-28,C4785,smartphone,1.0,631.3593865496682,Credit Card,Completed,True,True,2020,12
T0304,2022-04-12,C1803,Laptop,5.0,140.6198774288747,PayPal ,complete,False,False,2022,4
T0311,2022-06-08,C3494,Coffee,936.0,524.3066615827773,Credit Card,Failed,False,False,2022,6
T0313,2021-06-30,C654,Coffee,4.0,776.0722527306448,Cash,Failed,True,True,2021,6
T0317,2022-09-19,C4635,smartphone,1.0,983.6168855720676,Credit Card,complete,True,False,2022,9
T0319,2020-01-14,C3479,Headphones,410.0,424.9231685199768,PayPal ,completed,False,True,2020,1
T0323,2024-11-02,C2361,Headphones,2.0,524.3066615827773,Credit Card,Pending,False,False,2024,11
T0328,2024-10-09,C1878,Headphones,989.0,448.0931012413039,Cash,complete,False,True,2024,10
T0333,2023-12-29,C2256,Laptop,584.0,760.8401091670196,Credit Card,unkown,False,True,2023,12
T0337,2023-03-02,C4233,tablet,118.0,959.1751724156724,Cash,Completed,False,True,2023,3
T0338,2023-04-10,C4411,Coffee,10.0,990.5678038370074,Cash,Pending,True,True,2023,4
T0339,2021-08-03,C3229,Coffee,1.0,369.1381893846831,Cash,completed,True,True,2021,8
T0346,2023-08-14,C3763,Headphones,8.0,842.95,Credit Card,unkown,False,True,2023,8
T0348,2023-12-19,C967,smartphone,8.0,458.30857807803295,PayPal,Completed,False,False,2023,12
T0351,2021-09-03,C3070,smartphone,3.0,524.3066615827773,Credit Card,unkown,True,False,2021,9
T0352,2022-10-16,C2080,tablet,2.0,822.9978026249265,Cash,completed,True,False,2022,10
T0355,2021-04-26,C1559,tablet,5.0,742.8986999123656,PayPal ,Failed,False,True,2021,4
T0358,2022-01-26,C215,Headphones,481.0,505.1016560358623,Cash,complete,False,False,2022,1
T0359,2022-11-29,C3357,Headphones,726.0,243.71280693140815,PayPal ,Pending,False,True,2022,11
T0370,2021-09-21,C2351,Headphones,5.0,524.3066615827773,Credit Card,complete,False,False,2021,9
T0373,2020-02-07,C1963,Coffee,7.0,505.84,Credit Card,Pending,False,True,2020,2
T0374,2023-10-23,C1322,smartphone,8.0,524.3066615827773,Credit Card,complete,False,False,2023,10
T0383,2020-09-18,C218,tablet,3.0,111.88623908989376,PayPal ,Completed,True,False,2020,9
T0385,2020-02-06,C1925,Headphones,171.0,355.31375075825906,PayPal,unkown,False,True,2020,2
T0386,2023-04-13,C3257,smartphone,10.0,587.7645737338092,PayPal ,complete,True,True,2023,4
T0391,2021-07-09,C343,Laptop,9.0,524.3066615827773,Cash,unkown,False,False,2021,7
T0394,2023-09-19,C2968,tablet,266.0,444.1461383852306,PayPal,unkown,False,False,2023,9
T0395,2020-03-13,C4592,Laptop,223.0,524.3066615827773,Cash,Completed,False,False,2020,3
T0403,2021-12-08,C3011,Headphones,6.0,524.3066615827773,Cash,Pending,False,False,2021,12
T0408,2022-03-08,C2342,smartphone,199.0,524.3066615827773,Credit Card,Completed,False,False,2022,3
T0410,2020-12-24,C3413,Coffee,253.0,524.3066615827773,PayPal ,completed,False,False,2020,12
T0411,2021-08-20,C842,Laptop,2.0,398.5156160262819,Credit Card,unkown,False,True,2021,8
T0421,2023-07-21,C4963,Headphones,4.0,524.3066615827773,Cash,Pending,True,False,2023,7
T0423,2021-12-20,C898,Headphones,4.0,552.0757026363176,Credit Card,Pending,True,True,2021,12
T0426,2024-07-25,C1385,tablet,8.0,524.3066615827773,PayPal,complete,False,False,2024,7
T0431,2024-01-10,C1515,tablet,701.0,877.2554479693767,Credit Card,Pending,False,True,2024,1
T0434,2021-09-14,C4958,tablet,4.0,830.7487608215996,Credit Card,complete,True,True,2021,9
T0436,2022-08-24,C573,Headphones,583.0,524.3066615827773,PayPal,Failed,False,False,2022,8
T0441,2021-04-28,C1822,Laptop,598.0,175.65593211106244,Credit Card,unkown,False,False,2021,4
T0443,2022-09-20,C1659,Coffee,3.0,158.6013602889866,Cash,completed,False,True,2022,9
T0448,2024-01-12,C4227,Headphones,1.0,828.7889066621897,Credit Card,unkown,False,True,2024,1
T0449,2024-04-18,C1428,Headphones,908.0,664.3672272948074,Credit Card,Pending,False,True,2024,4
T0458,2020-06-02,C1744,Laptop,8.0,524.3066615827773,Cash,complete,False,False,2020,6
T0464,2021-06-07,C1343,Headphones,3.0,644.4471848103135,Credit Card,unkown,False,False,2021,6
T0466,2023-07-27,C2554,Headphones,9.0,641.4939137873032,PayPal,unkown,True,True,2023,7
T0468,2022-04-02,C2171,Coffee,4.0,632.6464123180596,PayPal,completed,True,False,2022,4
T0475,2020-08-27,C3914,tablet,3.0,73.30939822921115,PayPal,completed,False,False,2020,8
T0478,2024-06-26,C4896,Headphones,178.0,124.31215620910118,Cash,completed,False,False,2024,6
T0486,2021-01-01,C1245,Laptop,3.0,954.2825882761236,Cash,Completed,True,False,2021,1
T0489,2021-04-02,C1507,smartphone,567.0,534.7524182087768,PayPal ,complete,False,True,2021,4
T0497,2020-02-24,C3523,Headphones,3.0,985.7498369236312,PayPal,unkown,True,True,2020,2
T0500,2020-01-23,C1891,smartphone,5.0,524.3066615827773,PayPal ,Failed,True,False,2020,1
T0508,2021-04-27,C4416,Headphones,578.0,524.3066615827773,Credit Card,Completed,False,False,2021,4
T0521,2020-01-09,C745,Coffee,10.0,145.8264235816955,PayPal,unkown,True,True,2020,1
T0523,2022-09-08,C063,Coffee,4.0,298.16416488561003,Cash,Pending,True,False,2022,9
T0524,2021-04-09,C2023,Headphones,849.0,500.0003605344676,PayPal ,completed,False,True,2021,4
T0525,2024-09-09,C2309,smartphone,8.0,104.35615706425232,PayPal ,Failed,False,True,2024,9
T0526,2024-12-11,C3889,Coffee,3.0,901.392659384538,PayPal,Failed,False,False,2024,12
T0527,2020-06-11,C4693,Headphones,7.0,111.37130045670392,Cash,Failed,True,True,2020,6
T0531,2022-04-18,C090,Headphones,8.0,524.3066615827773,Credit Card,Completed,True,False,2022,4
T0532,2024-06-21,C979,smartphone,8.0,163.11752758515232,PayPal ,unkown,False,False,2024,6
T0534,2023-04-18,C2446,smartphone,451.0,318.05,PayPal,Failed,False,False,2023,4
T0536,2023-12-26,C193,Headphones,661.0,496.0210703338801,PayPal ,unkown,False,False,2023,12
T0542,2022-11-09,C2130,Laptop,6.0,500.0137781553335,Credit Card,Failed,True,False,2022,11
T0543,2020-03-13,C3429,Headphones,7.0,100.1938282424832,Credit Card,Failed,True,False,2020,3
T0551,2024-10-20,C1351,Coffee,7.0,677.8996430726346,PayPal ,Completed,False,False,2024,10
T0565,2023-11-25,C577,Headphones,777.0,740.8441366976862,PayPal ,Failed,False,False,2023,11
T0569,2024-07-24,C4392,Headphones,659.0,524.3066615827773,PayPal,completed,False,False,2024,7
T0576,2020-10-21,C3653,Laptop,487.0,462.5588493551151,Cash,Failed,False,True,2020,10
T0579,2020-10-11,C4392,Coffee,7.0,524.3066615827773,Cash,Completed,False,False,2020,10
T0581,2023-12-21,C4091,smartphone,3.0,524.3066615827773,Credit Card,completed,False,False,2023,12
T0587,2020-03-21,C4690,Headphones,5.0,758.22221988884,Credit Card,Failed,False,True,2020,3
T0588,2020-11-03,C584,tablet,3.0,980.8473934909644,Credit Card,Completed,False,True,2020,11
T0590,2021-07-17,C3832,smartphone,9.0,524.3066615827773,Credit Card,Failed,False,False,2021,7
T0595,2024-07-25,C913,Headphones,10.0,524.3066615827773,Credit Card,complete,True,False,2024,7
T0596,2020-05-25,C4981,smartphone,980.0,930.0379818138474,Credit Card,Failed,False,False,2020,5
T0601,2020-07-24,C4698,tablet,3.0,436.73177969707297,Cash,unkown,False,True,2020,7
T0605,2020-12-02,C4548,tablet,1.0,524.3066615827773,Cash,Failed,False,False,2020,12
T0612,2024-01-21,C4847,Laptop,5.0,524.3066615827773,PayPal,complete,False,False,2024,1
T0613,2020-01-23,C2647,smartphone,6.0,524.3066615827773,PayPal,complete,True,False,2020,1
T0621,2022-11-11,C3537,Headphones,313.0,221.0992079455016,Cash,unkown,False,False,2022,11
T0622,2023-06-24,C4001,Laptop,6.0,524.3066615827773,PayPal ,complete,False,False,2023,6
T0628,2021-11-08,C3224,tablet,4.0,967.3999133955474,Credit Card,complete,True,True,2021,11
T0632,2020-04-13,C1982,Headphones,638.0,362.28591057798576,Credit Card,Failed,False,False,2020,4
T0638,2024-07-19,C3044,tablet,4.0,464.5194808520282,PayPal,complete,False,False,2024,7
T0641,2024-07-15,C2354,Laptop,7.0,64.17348443527412,PayPal,completed,True,False,2024,7
T0642,2020-11-17,C4965,tablet,1.0,378.9639964747207,Credit Card,complete,True,True,2020,11
T0643,2021-04-09,C4347,Laptop,4.0,841.2991021061262,Cash,Failed,True,False,2021,4
T37318,2021-05-07,C2292,Laptop,6.0,240.63500671230716,Cash,Completed,False,True,2021,5
T0661,2023-07-22,C3292,Coffee,354.0,524.3066615827773,Credit Card,Pending,False,False,2023,7
T0664,2021-07-12,C124,smartphone,4.0,67.85859307003622,Cash,unkown,True,False,2021,7
T0670,2020-03-10,C2551,Laptop,5.0,889.4273239276191,Credit Card,unkown,True,False,2020,3
T0675,2021-07-28,C2617,Laptop,2.0,235.7304532651376,Credit Card,completed,False,False,2021,7
T18030,2024-09-28,C018,Laptop,995.0,524.3066615827773,Credit Card,unkown,False,False,2024,9
T0679,2022-06-07,C1139,Laptop,465.0,658.4590633919295,PayPal,completed,False,True,2022,6
T0682,2020-09-27,C3166,Headphones,728.0,276.47323416167,Cash,unkown,False,True,2020,9
T0688,2021-12-21,C2605,Headphones,10.0,164.9825050253434,Credit Card,Failed,True,False,2021,12
T0689,2021-05-16,C2384,Coffee,9.0,382.75398868940135,Cash,Failed,True,True,2021,5
T0691,2021-10-08,C1483,Headphones,5.0,900.7538505528112,Cash,Completed,True,True,2021,10
T0694,2024-11-22,C3375,smartphone,3.0,524.3066615827773,Cash,Failed,False,False,2024,11
T0695,2023-03-10,C028,Headphones,6.0,316.1837590334354,PayPal,Pending,False,True,2023,3
T0698,2022-01-23,C1771,tablet,169.0,320.65371324440616,Credit Card,complete,False,False,2022,1
T0701,2022-12-04,C1296,Headphones,5.0,200.84135163300837,PayPal,complete,True,False,2022,12
T0708,2023-10-10,C919,tablet,163.0,119.55153877012434,Cash,completed,False,False,2023,10
T0713,2022-01-20,C675,Headphones,8.0,808.57,PayPal ,complete,False,False,2022,1
T0721,2023-10-14,C1241,tablet,10.0,524.3066615827773,PayPal,Completed,True,False,2023,10
T0727,2024-07-12,C396,Headphones,1.0,524.3066615827773,Credit Card,unkown,False,False,2024,7
T0728,2022-02-10,C718,Coffee,3.0,524.3066615827773,PayPal,completed,True,False,2022,2
T0730,2023-05-13,C2468,tablet,10.0,524.3066615827773,PayPal ,Completed,True,False,2023,5
T0734,2022-03-03,C3468,tablet,803.0,452.1328395920808,Credit Card,Completed,False,True,2022,3
T0735,2024-12-15,C4246,Coffee,8.0,350.6419957708754,Credit Card,completed,False,True,2024,12
T0736,2024-09-21,C791,tablet,8.0,484.222173563398,Credit Card,Failed,False,True,2024,9
T0738,2020-05-13,C2824,Laptop,4.0,348.3648163446102,PayPal,complete,True,False,2020,5
T0744,2020-05-01,C219,tablet,9.0,50.69536203723658,Credit Card,completed,False,True,2020,5
T0745,2022-02-06,C4787,Laptop,917.0,524.3066615827773,PayPal,Pending,False,False,2022,2
T0747,2020-01-22,C4819,smartphone,6.0,580.581683468913,PayPal ,completed,False,False,2020,1
T0749,2023-11-03,C3051,Coffee,1.0,532.7818237284533,Credit Card,Pending,False,False,2023,11
T0753,2024-03-16,C1843,smartphone,8.0,121.93488327330522,Cash,unkown,False,True,2024,3
T0763,2021-03-20,C2880,Headphones,3.0,626.0,Cash,completed,True,False,2021,3
T0767,2021-03-06,C3584,Headphones,6.0,666.0085284023678,PayPal,Pending,False,False,2021,3
T0773,2021-01-02,C2637,tablet,6.0,524.3066615827773,Credit Card,unkown,True,False,2021,1
T0778,2021-01-15,C1794,tablet,10.0,365.7322554809473,Credit Card,Pending,False,True,2021,1
T0780,2023-01-09,C3617,Headphones,7.0,677.8973457876896,PayPal ,Failed,True,False,2023,1
T0781,2022-03-03,C3082,tablet,8.0,524.3066615827773,PayPal ,Failed,False,False,2022,3
T0788,2021-01-16,C4735,tablet,831.0,261.025395989305,Cash,Failed,False,False,2021,1
T0798,2022-02-08,C4215,Coffee,3.0,528.7733841586569,Credit Card,Failed,True,True,2022,2
T0804,2024-03-29,C2952,smartphone,7.0,524.3066615827773,Credit Card,Pending,False,False,2024,3
T0806,2023-05-18,C4569,Coffee,3.0,524.3066615827773,PayPal ,Completed,False,False,2023,5
T0807,2023-02-10,C3438,Headphones,10.0,188.12352674114845,Cash,unkown,False,True,2023,2
T0809,2024-06-17,C092,Laptop,279.0,456.2399541228617,Cash,Pending,False,True,2024,6
T0814,2021-12-11,C745,Headphones,8.0,524.3066615827773,PayPal ,Completed,False,False,2021,12
T0815,2021-09-03,C2164,tablet,407.0,385.5678723843472,Cash,completed,False,True,2021,9
T0825,2022-06-05,C2309,Coffee,8.0,785.0729814492072,Credit Card,unkown,False,True,2022,6
T0827,2022-07-16,C3020,Laptop,558.0,524.3066615827773,Cash,Failed,False,False,2022,7
T0830,2022-10-19,C4692,Coffee,5.0,552.6956150167373,Cash,unkown,True,False,2022,10
T0831,2021-09-19,C234,tablet,711.0,524.3066615827773,PayPal,unkown,False,False,2021,9
T0834,2023-03-18,C3015,tablet,2.0,637.5026061371781,Credit Card,Completed,True,False,2023,3
T0838,2024-05-03,C3095,Coffee,6.0,291.6173331436819,Cash,complete,True,True,2024,5
T0839,2024-02-22,C205,smartphone,368.0,305.0921948967844,Credit Card,Failed,False,False,2024,2
T0842,2020-08-24,C3805,Coffee,108.0,962.5145461164354,Credit Card,complete,False,True,2020,8
T0861,2021-04-15,C4903,tablet,6.0,524.3066615827773,PayPal ,Pending,False,False,2021,4
T0864,2020-12-28,C3641,smartphone,10.0,115.38015809453157,PayPal ,Pending,True,True,2020,12
T0867,2024-11-09,C3206,smartphone,536.0,890.64,PayPal,Completed,False,True,2024,11
T0870,2022-08-04,C1895,tablet,558.0,524.3066615827773,Credit Card,Completed,False,False,2022,8
T0876,2020-05-13,C1034,Headphones,261.0,332.3202556776406,PayPal,Completed,False,False,2020,5
T0878,2024-09-27,C4449,tablet,5.0,948.8816063349858,PayPal,Failed,False,False,2024,9
T0879,2024-12-12,C1064,tablet,901.0,524.3066615827773,PayPal,Failed,False,False,2024,12
T0883,2024-08-11,C4474,smartphone,2.0,524.3066615827773,Credit Card,Completed,False,False,2024,8
T0884,2024-08-24,C2042,Headphones,2.0,524.3066615827773,PayPal ,Completed,False,False,2024,8
T0886,2022-01-27,C4872,tablet,1.0,924.659632181763,PayPal ,completed,False,True,2022,1
T0887,2022-02-13,C971,tablet,447.0,819.4299685366303,PayPal,completed,False,True,2022,2
T0889,2023-07-27,C3024,smartphone,5.0,784.021476433943,Credit Card,complete,False,False,2023,7
T0892,2023-10-07,C1702,tablet,850.0,748.8996734892544,Cash,unkown,False,False,2023,10
T0893,2020-07-19,C4227,Coffee,773.0,524.3066615827773,Credit Card,completed,False,False,2020,7
T0896,2024-07-19,C2603,tablet,177.0,524.3066615827773,Credit Card,Pending,False,False,2024,7
T0897,2021-12-10,C314,Headphones,659.0,524.3066615827773,PayPal ,Pending,False,False,2021,12
T0900,2023-12-16,C1964,Headphones,2.0,647.8816749780428,Cash,Completed,False,True,2023,12
T0905,2023-03-04,C1301,smartphone,960.0,524.3066615827773,Cash,Failed,False,False,2023,3
T0906,2021-03-16,C2881,Laptop,2.0,524.3066615827773,Cash,Failed,True,False,2021,3
T0909,2023-04-13,C2257,Coffee,10.0,296.39987538825415,Credit Card,Failed,False,True,2023,4
T0910,2020-02-07,C2757,Headphones,2.0,524.3066615827773,Credit Card,unkown,True,False,2020,2
T0911,2023-12-23,C4610,Headphones,4.0,494.0526186201254,Credit Card,Pending,False,True,2023,12
T0915,2024-04-22,C2333,Laptop,741.0,829.979718558152,Credit Card,unkown,False,True,2024,4
T0916,2024-09-28,C4449,Coffee,9.0,524.3066615827773,PayPal,completed,False,False,2024,9
T0919,2024-08-05,C4978,smartphone,7.0,115.48299928701152,PayPal,unkown,False,False,2024,8
T0922,2024-09-09,C4518,tablet,7.0,524.3066615827773,Credit Card,complete,False,False,2024,9
T0923,2020-09-22,C2065,smartphone,5.0,838.469347414304,Credit Card,Completed,False,False,2020,9
T0924,2025-01-29,C127,Headphones,389.0,335.3975346648843,Credit Card,Completed,False,False,2025,1
T0925,2022-07-15,C4359,tablet,10.0,524.3066615827773,PayPal,Completed,False,False,2022,7
T0928,2022-11-18,C4418,Coffee,5.0,369.7065020325148,Credit Card,Pending,True,True,2022,11
T0930,2020-11-14,C3596,tablet,6.0,806.24,Credit Card,Completed,True,True,2020,11
T0932,2023-04-16,C4811,smartphone,1.0,524.3066615827773,PayPal,Pending,True,False,2023,4
T0935,2022-04-20,C1227,tablet,4.0,524.3066615827773,Credit Card,Failed,True,False,2022,4
T0937,2023-05-24,C1466,tablet,8.0,524.3066615827773,Credit Card,Failed,False,False,2023,5
T0942,2024-04-17,C4180,Laptop,602.0,524.3066615827773,PayPal,unkown,False,False,2024,4
T0947,2022-09-10,C2432,Headphones,270.0,524.3066615827773,Cash,Completed,False,False,2022,9
T0954,2022-06-03,C1930,Laptop,866.0,421.5137794243248,Credit Card,Completed,False,True,2022,6
T0967,2024-01-24,C4258,tablet,10.0,524.3066615827773,Cash,Pending,False,False,2024,1
T0969,2022-07-12,C200,smartphone,8.0,992.1565654449236,PayPal,complete,True,True,2022,7
T0976,2024-09-30,C3523,Coffee,3.0,524.3066615827773,PayPal,complete,True,False,2024,9
T0979,2022-08-25,C465,Headphones,6.0,584.1879236356881,PayPal ,Completed,False,True,2022,8
T0987,2022-04-08,C3803,Headphones,5.0,636.8130734404331,Cash,complete,False,True,2022,4
T0991,2023-07-07,C1614,Coffee,9.0,524.3066615827773,Credit Card,Completed,True,False,2023,7
T0993,2020-04-18,C400,tablet,1.0,524.3066615827773,PayPal,Completed,False,False,2020,4
T0994,2025-01-17,C2063,smartphone,4.0,901.7674294653611,PayPal,completed,False,False,2025,1
T0997,2024-06-24,C271,Laptop,9.0,524.3066615827773,Credit Card,completed,False,False,2024,6
T1006,2025-01-28,C4205,Coffee,9.0,679.8185351189029,Credit Card,unkown,True,False,2025,1
T1007,2024-10-08,C538,Coffee,697.0,524.3066615827773,Cash,Pending,False,False,2024,10
